Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Critic_Score_Class,KMEANS-prediction,GMM-prediction,BisKMeans-prediction
3DS,Action,Nintendo,1.41,1.03,0.46,0.23,3.13,E,Excelente,3,7,2
3DS,Action,Nintendo,1.82,1.39,1.12,0.29,4.62,E,Excelente,3,7,3
3DS,Action,Nippon Ichi Software,0.04,0.0,0.0,0.0,0.05,E10+,Malo,2,3,0
3DS,Action,Screenlife,0.0,0.0,0.42,0.0,0.42,M,Malo,2,6,0
3DS,Action,Sega,0.05,0.03,0.0,0.01,0.08,T,Malo,2,3,0
3DS,Action,Sega,0.06,0.03,0.0,0.01,0.1,T,Malo,2,3,0
3DS,Action,Square Enix,0.88,0.26,0.34,0.1,1.58,E10+,Bueno,5,6,1
3DS,Action,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,T,Aceptable,2,1,0
3DS,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39,T,Aceptable,2,1,0
3DS,Action,Ubisoft,0.03,0.0,0.0,0.0,0.04,E,Malo,2,3,0
3DS,Action,Ubisoft,0.05,0.09,0.0,0.02,0.15,E10+,Malo,2,3,0
3DS,Action,Ubisoft,0.14,0.07,0.07,0.02,0.3,T,Malo,2,1,0
3DS,Action,Unknown,0.16,0.09,0.0,0.02,0.27,E,Aceptable,2,3,0
3DS,Action,Warner Bros. Interactive Entertainment,0.0,0.05,0.0,0.0,0.05,E,Malo,2,3,0
3DS,Action,Warner Bros. Interactive Entertainment,0.08,0.11,0.02,0.02,0.22,E10+,Aceptable,2,1,0
3DS,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,E10+,Malo,2,3,0
3DS,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0.0,0.02,0.27,T,Aceptable,2,3,0
3DS,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.03,0.4,E10+,Bueno,2,0,0
3DS,Action,Warner Bros. Interactive Entertainment,0.2,0.16,0.0,0.03,0.4,E10+,Aceptable,2,0,0
3DS,Action,Warner Bros. Interactive Entertainment,0.42,0.38,0.04,0.07,0.92,E10+,Aceptable,0,5,1
3DS,Action,Warner Bros. Interactive Entertainment,0.56,0.01,0.0,0.05,0.62,E10+,Bueno,0,0,1
3DS,Action,Yacht Club Games,0.02,0.0,0.0,0.0,0.02,E10+,Bueno,2,3,0
3DS,Adventure,Nintendo,0.17,0.2,0.53,0.03,0.93,E,Bueno,0,6,1
3DS,Adventure,Ubisoft,0.07,0.07,0.0,0.01,0.16,T,Aceptable,2,3,0
3DS,Fighting,Capcom,0.55,0.44,0.14,0.09,1.21,T,Excelente,0,6,1
3DS,Fighting,Deep Silver,0.07,0.02,0.0,0.01,0.1,E10+,Malo,2,3,0
3DS,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.34,T,Aceptable,2,1,0
3DS,Fighting,Nintendo,0.06,0.07,0.05,0.01,0.2,T,Aceptable,2,1,0
3DS,Fighting,PQube,0.05,0.01,0.04,0.01,0.11,T,Aceptable,2,1,0
3DS,Fighting,THQ,0.15,0.06,0.0,0.02,0.23,T,Bueno,2,3,0
3DS,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45,T,Bueno,2,6,0
3DS,Misc,Crave Entertainment,0.1,0.0,0.0,0.01,0.11,E10+,Aceptable,2,3,0
3DS,Misc,Namco Bandai Games,0.09,0.04,0.0,0.01,0.15,E,Malo,2,3,0
3DS,Misc,Nintendo,0.17,0.25,0.11,0.04,0.57,E,Aceptable,0,6,0
3DS,Misc,Nintendo,0.18,0.12,0.16,0.03,0.49,E,Bueno,2,1,0
3DS,Misc,Nintendo,0.64,0.73,0.55,0.12,2.05,E,Malo,5,6,2
3DS,Misc,Rising Star Games,0.09,0.04,0.0,0.01,0.14,E,Bueno,2,3,0
3DS,Misc,Sega,0.18,0.04,0.1,0.02,0.34,E10+,Excelente,2,1,0
3DS,Misc,Square Enix,0.13,0.08,0.15,0.02,0.37,T,Excelente,2,1,0
3DS,Misc,Square Enix,0.22,0.07,0.18,0.02,0.5,E10+,Bueno,2,1,0
3DS,Misc,THQ,0.13,0.05,0.0,0.02,0.19,E,Aceptable,2,3,0
3DS,Platform,Agatsuma Entertainment,0.0,0.0,0.03,0.0,0.03,E,Bueno,2,1,0
3DS,Platform,Nintendo,0.61,0.34,0.79,0.09,1.84,E,Excelente,5,6,1
3DS,Platform,Nintendo,3.66,3.27,2.49,0.63,10.05,E,Bueno,7,4,4
3DS,Platform,Nintendo,4.89,3.05,2.14,0.78,10.87,E,Excelente,6,4,4
3DS,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14,E10+,Excelente,2,1,0
3DS,Platform,Rising Star Games,0.02,0.0,0.03,0.0,0.06,E10+,Excelente,2,1,0
3DS,Platform,Sega,0.08,0.04,0.0,0.01,0.13,E10+,Bueno,2,3,0
3DS,Platform,Sega,0.14,0.07,0.0,0.02,0.22,T,Aceptable,2,3,0
3DS,Platform,Sega,0.44,0.49,0.01,0.09,1.03,E,Aceptable,0,5,1
3DS,Platform,Ubisoft,0.06,0.08,0.0,0.01,0.15,E10+,Bueno,2,3,0
3DS,Platform,Ubisoft,0.23,0.35,0.0,0.06,0.64,E,Aceptable,0,0,0
3DS,Puzzle,Nintendo,0.0,0.0,0.07,0.0,0.07,E,Aceptable,2,1,0
3DS,Puzzle,Nintendo,0.09,0.0,0.0,0.01,0.09,E,Bueno,2,3,0
3DS,Puzzle,Sunsoft,0.07,0.0,0.02,0.0,0.09,E,Aceptable,2,1,0
3DS,Puzzle,Tetris Online,0.2,0.13,0.06,0.03,0.43,E,Bueno,2,1,0
3DS,Puzzle,Ubisoft,0.0,0.01,0.0,0.0,0.01,E,Aceptable,2,3,0
3DS,Puzzle,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.1,E10+,Aceptable,2,3,0
3DS,Racing,Codemasters,0.07,0.08,0.0,0.02,0.16,E,Malo,2,3,0
3DS,Racing,Nintendo,5.2,4.19,2.7,0.94,13.04,E,Excelente,6,4,4
3DS,Racing,Ubisoft,0.05,0.04,0.0,0.01,0.09,M,Malo,2,3,0
3DS,Role-Playing,Atlus,0.1,0.01,0.14,0.01,0.26,T,Excelente,2,1,0
3DS,Role-Playing,FuRyu,0.13,0.01,0.11,0.02,0.27,E10+,Aceptable,2,1,0
3DS,Role-Playing,Ghostlight,0.29,0.01,0.06,0.03,0.39,T,Bueno,2,1,0
3DS,Role-Playing,Marvelous Entertainment,0.0,0.0,0.06,0.0,0.06,T,Aceptable,2,1,0
3DS,Role-Playing,Namco Bandai Games,0.04,0.0,0.2,0.01,0.24,T,Aceptable,2,1,0
3DS,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39,T,Aceptable,2,1,0
3DS,Role-Playing,Namco Bandai Games,0.44,0.19,0.14,0.06,0.84,T,Bueno,0,6,1
3DS,Role-Playing,Nintendo,0.13,0.07,0.0,0.02,0.21,T,Aceptable,2,3,0
3DS,Role-Playing,Nintendo,0.19,0.11,0.19,0.03,0.51,T,Excelente,2,1,0
3DS,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,E,Malo,0,6,1
3DS,Role-Playing,Nintendo,0.5,0.39,0.34,0.08,1.31,E,Aceptable,0,6,1
3DS,Role-Playing,Nintendo,0.7,0.48,2.62,0.11,3.92,T,Excelente,3,4,2
3DS,Role-Playing,Nintendo,0.9,0.45,0.54,0.13,2.03,T,Excelente,5,6,2
3DS,Role-Playing,Nintendo,1.12,0.43,0.64,0.14,2.33,E,Bueno,5,6,2
3DS,Role-Playing,Nippon Ichi Software,0.1,0.01,0.13,0.01,0.25,E10+,Bueno,2,1,0
3DS,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.05,0.73,M,Excelente,0,6,1
3DS,Role-Playing,Rising Star Games,0.24,0.12,0.04,0.04,0.44,E10+,Malo,2,1,0
3DS,Role-Playing,Screenlife,0.09,0.0,0.03,0.01,0.12,M,Aceptable,2,1,0
3DS,Role-Playing,Sega,0.05,0.02,0.13,0.01,0.2,T,Bueno,2,1,0
3DS,Role-Playing,Square Enix,0.17,0.09,0.28,0.03,0.57,E10+,Aceptable,2,1,0
3DS,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,T,Bueno,2,1,0
3DS,Simulation,Nintendo,0.0,0.15,0.27,0.01,0.43,E10+,Bueno,2,6,0
3DS,Simulation,Nintendo,0.16,0.03,0.54,0.01,0.74,E,Bueno,0,6,0
3DS,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.95,E,Bueno,0,6,1
3DS,Simulation,Nintendo,0.55,1.07,1.41,0.13,3.16,E,Aceptable,5,7,2
3DS,Simulation,Nintendo,0.99,2.23,1.91,0.25,5.39,E,Bueno,3,4,3
3DS,Simulation,Nintendo,2.08,2.43,4.43,0.4,9.34,E,Excelente,7,4,4
3DS,Sports,Electronic Arts,0.37,0.01,0.0,0.03,0.4,E,Malo,2,0,0
3DS,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.21,T,Aceptable,2,1,0
3DS,Strategy,Ubisoft,0.22,0.09,0.0,0.03,0.34,T,Bueno,2,3,0
DC,Adventure,Sega,0.0,0.0,0.15,0.0,0.15,T,Excelente,2,1,0
DC,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,T,Excelente,0,6,1
DC,Fighting,Virgin Interactive,0.0,0.0,0.22,0.0,0.22,T,Excelente,2,1,0
DC,Platform,Sega,0.0,0.0,0.12,0.0,0.12,E,Excelente,2,1,0
DC,Racing,Sega,0.0,0.0,0.07,0.0,0.07,T,Excelente,2,1,0
DC,Racing,Sega,0.0,0.0,0.13,0.0,0.13,E,Excelente,2,1,0
DC,Role-Playing,Sega,0.0,0.0,0.09,0.0,0.09,T,Excelente,2,1,0
DC,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,T,Excelente,2,1,0
DC,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,T,Excelente,2,1,0
DC,Role-Playing,Ubisoft,0.0,0.0,0.2,0.0,0.2,T,Excelente,2,1,0
DC,Shooter,Sega,0.0,0.0,0.05,0.0,0.05,M,Excelente,2,1,0
DC,Simulation,Sega,0.0,0.0,0.52,0.0,0.52,T,Excelente,2,6,0
DC,Sports,Sega,1.02,0.05,0.0,0.02,1.09,E,Excelente,0,0,1
DS,Action,505 Games,0.03,0.0,0.0,0.0,0.03,E,Malo,2,3,0
DS,Action,505 Games,0.06,0.0,0.0,0.0,0.07,E10+,Malo,2,3,0
DS,Action,Activision,0.05,0.01,0.0,0.0,0.06,E10+,Malo,2,3,0
DS,Action,Activision,0.09,0.0,0.0,0.01,0.1,E10+,Bueno,2,3,0
DS,Action,Activision,0.14,0.0,0.0,0.01,0.15,E10+,Bueno,2,3,0
DS,Action,Activision,0.17,0.01,0.0,0.01,0.19,E10+,Bueno,2,3,0
DS,Action,Activision,0.26,0.02,0.0,0.02,0.3,E,Aceptable,2,3,0
DS,Action,Activision,0.41,0.02,0.03,0.04,0.5,E,Aceptable,2,5,0
DS,Action,Activision,1.26,0.02,0.0,0.1,1.38,E,Aceptable,5,0,1
DS,Action,Activision,1.4,0.59,0.0,0.2,2.2,E,Excelente,5,5,2
DS,Action,Atari,0.08,0.02,0.0,0.01,0.12,T,Bueno,2,3,0
DS,Action,Atari,0.11,0.0,0.0,0.01,0.12,E,Malo,2,3,0
DS,Action,Capcom,0.11,0.02,0.11,0.01,0.26,M,Bueno,2,1,0
DS,Action,Disney Interactive Studios,0.15,0.01,0.0,0.01,0.18,E10+,Aceptable,2,3,0
DS,Action,Disney Interactive Studios,1.33,0.37,0.0,0.15,1.84,E,Excelente,5,0,2
DS,Action,Eidos Interactive,0.04,0.02,0.0,0.01,0.07,T,Malo,2,3,0
DS,Action,Eidos Interactive,0.15,0.02,0.0,0.01,0.19,T,Aceptable,2,3,0
DS,Action,Eidos Interactive,0.16,0.15,0.0,0.04,0.34,E10+,Aceptable,2,0,0
DS,Action,Electronic Arts,0.07,0.0,0.0,0.01,0.07,E,Malo,2,3,0
DS,Action,Electronic Arts,0.11,0.01,0.0,0.01,0.14,E10+,Malo,2,3,0
DS,Action,Electronic Arts,0.19,0.18,0.0,0.04,0.41,E10+,Malo,2,0,0
DS,Action,Electronic Arts,0.2,0.34,0.0,0.07,0.62,E,Malo,0,0,0
DS,Action,Electronic Arts,0.28,0.46,0.0,0.1,0.84,E,Malo,0,0,1
DS,Action,Game Factory,0.03,0.01,0.0,0.0,0.05,E10+,Aceptable,2,3,0
DS,Action,Konami Digital Entertainment,0.05,0.0,0.0,0.0,0.06,E,Malo,2,3,0
DS,Action,LucasArts,0.17,0.03,0.0,0.02,0.22,T,Malo,2,3,0
DS,Action,LucasArts,0.96,0.03,0.0,0.08,1.07,E,Malo,0,0,1
DS,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,E,Bueno,2,1,0
DS,Action,Nintendo,1.4,0.91,0.74,0.26,3.31,E10+,Excelente,3,7,2
DS,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,E,Excelente,3,7,3
DS,Action,Sega,0.08,0.04,0.0,0.01,0.13,E10+,Aceptable,2,3,0
DS,Action,Sega,0.09,0.05,0.0,0.02,0.16,T,Bueno,2,3,0
DS,Action,Sega,0.28,0.25,0.0,0.06,0.6,E10+,Malo,0,0,0
DS,Action,SouthPeak Games,0.05,0.0,0.0,0.0,0.06,E10+,Aceptable,2,3,0
DS,Action,SouthPeak Games,0.1,0.0,0.0,0.01,0.11,E,Malo,2,3,0
DS,Action,Square Enix,0.07,0.0,0.0,0.0,0.07,E10+,Aceptable,2,3,0
DS,Action,Square Enix,0.13,0.0,0.31,0.01,0.44,E,Excelente,2,1,0
DS,Action,THQ,0.13,0.04,0.0,0.01,0.18,E10+,Aceptable,2,3,0
DS,Action,THQ,0.31,0.0,0.0,0.02,0.34,E,Aceptable,2,0,0
DS,Action,Take-Two Interactive,0.04,0.0,0.0,0.0,0.04,E10+,Malo,2,3,0
DS,Action,Tecmo Koei,0.16,0.01,0.02,0.02,0.21,T,Excelente,2,1,0
DS,Action,Ubisoft,0.03,0.01,0.0,0.0,0.04,E10+,Malo,2,3,0
DS,Action,Ubisoft,0.05,0.02,0.0,0.01,0.08,T,Malo,2,3,0
DS,Action,Ubisoft,0.06,0.0,0.0,0.01,0.07,T,Malo,2,3,0
DS,Action,Ubisoft,0.1,0.0,0.0,0.01,0.11,E,Malo,2,3,0
DS,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13,E10+,Malo,2,3,0
DS,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13,T,Malo,2,3,0
DS,Action,Ubisoft,0.15,0.11,0.0,0.03,0.28,T,Aceptable,2,3,0
DS,Action,Ubisoft,0.25,0.03,0.0,0.02,0.31,E10+,Bueno,2,3,0
DS,Action,Vivendi Games,0.13,0.02,0.0,0.01,0.16,T,Aceptable,2,3,0
DS,Action,Vivendi Games,0.14,0.01,0.0,0.01,0.16,E,Malo,2,3,0
DS,Action,Vivendi Games,0.42,0.02,0.0,0.04,0.48,E,Bueno,2,0,0
DS,Action,Warner Bros. Interactive Entertainment,0.23,0.04,0.0,0.02,0.29,E10+,Bueno,2,3,0
DS,Action,Warner Bros. Interactive Entertainment,1.07,0.99,0.0,0.22,2.28,E10+,Bueno,5,5,2
DS,Action,Warner Bros. Interactive Entertainment,1.75,1.01,0.0,0.29,3.05,E10+,Bueno,3,5,2
DS,Adventure,Capcom,0.17,0.07,0.12,0.02,0.38,T,Excelente,2,1,0
DS,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,T,Bueno,0,6,0
DS,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99,T,Bueno,0,6,1
DS,Adventure,Capcom,0.44,0.05,0.39,0.05,0.92,T,Excelente,0,6,1
DS,Adventure,Codemasters,0.24,0.0,0.0,0.02,0.26,E10+,Malo,2,3,0
DS,Adventure,Disney Interactive Studios,0.23,0.01,0.0,0.02,0.26,T,Aceptable,2,3,0
DS,Adventure,DreamCatcher Interactive,0.02,0.0,0.0,0.0,0.02,E,Malo,2,3,0
DS,Adventure,Focus Home Interactive,0.06,0.3,0.0,0.04,0.39,E,Malo,2,0,0
DS,Adventure,Game Factory,0.07,0.0,0.0,0.01,0.08,E,Malo,2,3,0
DS,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1,T,Malo,2,3,0
DS,Adventure,Konami Digital Entertainment,0.03,0.01,0.11,0.0,0.16,T,Aceptable,2,1,0
DS,Adventure,Konami Digital Entertainment,0.07,0.02,0.02,0.01,0.11,E10+,Aceptable,2,1,0
DS,Adventure,Konami Digital Entertainment,0.09,0.0,0.0,0.01,0.1,T,Malo,2,3,0
DS,Adventure,Mastiff,0.04,0.0,0.0,0.0,0.05,T,Bueno,2,3,0
DS,Adventure,Nintendo,0.0,0.0,0.19,0.0,0.19,E,Bueno,2,1,0
DS,Adventure,Nintendo,0.15,0.01,0.12,0.01,0.29,T,Aceptable,2,1,0
DS,Adventure,Nintendo,0.26,0.04,0.22,0.03,0.54,T,Bueno,2,1,0
DS,Adventure,Rising Star Games,0.04,0.0,0.0,0.0,0.04,T,Malo,2,3,0
DS,Adventure,Rising Star Games,0.06,0.0,0.0,0.0,0.07,T,Malo,2,3,0
DS,Adventure,Ubisoft,0.1,0.01,0.12,0.01,0.24,E,Bueno,2,1,0
DS,Fighting,505 Games,0.09,0.0,0.0,0.01,0.1,E10+,Bueno,2,3,0
DS,Fighting,Atari,0.13,0.02,0.32,0.02,0.49,E10+,Aceptable,2,1,0
DS,Fighting,Midway Games,0.07,0.01,0.0,0.01,0.09,M,Bueno,2,3,0
DS,Fighting,Namco Bandai Games,0.02,0.01,0.16,0.0,0.19,T,Aceptable,2,1,0
DS,Fighting,Sega,0.12,0.02,0.0,0.01,0.15,T,Excelente,2,3,0
DS,Fighting,Sega,0.29,0.01,0.12,0.03,0.45,T,Excelente,2,1,0
DS,Fighting,THQ,0.11,0.0,0.0,0.01,0.12,T,Aceptable,2,3,0
DS,Fighting,THQ,0.35,0.13,0.0,0.05,0.53,T,Bueno,0,0,0
DS,Fighting,THQ,0.36,0.02,0.0,0.03,0.41,E10+,Aceptable,2,0,0
DS,Misc,AQ Interactive,0.19,0.01,0.0,0.02,0.22,E,Excelente,2,3,0
DS,Misc,Activision,2.1,1.01,0.01,0.35,3.46,E10+,Bueno,3,5,2
DS,Misc,Brash Entertainment,0.17,0.0,0.0,0.01,0.18,E,Malo,2,3,0
DS,Misc,Cave,0.1,0.0,0.0,0.01,0.1,E,Bueno,2,3,0
DS,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,E,Malo,2,3,0
DS,Misc,Destineer,0.01,0.0,0.0,0.0,0.01,T,Aceptable,2,3,0
DS,Misc,Electronic Arts,0.08,0.02,0.0,0.01,0.11,E10+,Bueno,2,3,0
DS,Misc,Mindscape,1.15,0.4,0.0,0.15,1.71,E,Malo,5,0,1
DS,Misc,Nintendo,0.01,0.0,0.02,0.0,0.03,E,Bueno,2,1,0
DS,Misc,Nintendo,0.17,0.18,0.2,0.04,0.59,E,Excelente,0,6,0
DS,Misc,Nintendo,0.26,1.65,0.33,0.28,2.52,E,Bueno,5,7,2
DS,Misc,Nintendo,0.3,0.03,0.0,0.03,0.36,E10+,Excelente,2,0,0
DS,Misc,Nintendo,0.55,0.5,1.93,0.13,3.11,E,Excelente,5,7,2
DS,Misc,Nintendo,0.59,1.79,0.73,0.34,3.45,E,Excelente,3,7,2
DS,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83,E,Malo,3,4,2
DS,Misc,Nintendo,0.91,1.0,1.03,0.17,3.12,E,Excelente,3,4,2
DS,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63,E,Bueno,7,4,3
DS,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,E,Bueno,7,4,4
DS,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,E,Bueno,6,4,5
DS,Misc,Take-Two Interactive,1.22,0.63,0.0,0.19,2.03,E,Malo,5,0,2
DS,Misc,Ubisoft,0.13,0.01,0.0,0.01,0.14,E,Malo,2,3,0
DS,Misc,Ubisoft,0.24,0.0,0.0,0.02,0.27,E,Malo,2,0,0
DS,Misc,Ubisoft,0.37,0.89,0.0,0.18,1.44,E,Bueno,0,5,1
DS,Misc,Ubisoft,0.73,0.01,0.0,0.06,0.8,E10+,Malo,0,0,1
DS,Platform,Activision,0.12,0.0,0.0,0.01,0.13,E10+,Aceptable,2,3,0
DS,Platform,Activision,0.24,0.01,0.0,0.02,0.27,E,Bueno,2,3,0
DS,Platform,Capcom,0.17,0.01,0.11,0.02,0.31,E,Bueno,2,1,0
DS,Platform,Capcom,0.22,0.0,0.09,0.02,0.33,E10+,Bueno,2,1,0
DS,Platform,Konami Digital Entertainment,0.27,0.02,0.04,0.03,0.36,T,Excelente,2,1,0
DS,Platform,Konami Digital Entertainment,0.31,0.02,0.04,0.03,0.4,T,Excelente,2,1,0
DS,Platform,Konami Digital Entertainment,0.34,0.03,0.03,0.03,0.43,T,Excelente,2,1,0
DS,Platform,Majesco Entertainment,0.06,0.0,0.0,0.0,0.06,E,Bueno,2,3,0
DS,Platform,Nintendo,0.28,0.02,0.33,0.03,0.65,E10+,Aceptable,0,6,0
DS,Platform,Nintendo,0.6,0.0,0.2,0.05,0.85,E,Bueno,0,6,1
DS,Platform,Nintendo,0.7,0.05,0.21,0.07,1.03,E,Bueno,0,6,1
DS,Platform,Nintendo,0.78,0.02,1.05,0.08,1.94,E,Bueno,5,6,1
DS,Platform,Nintendo,1.45,0.07,1.1,0.15,2.76,E,Excelente,5,4,2
DS,Platform,Nintendo,11.28,9.15,6.5,2.88,29.81,E,Excelente,1,4,6
DS,Platform,Sega,0.53,0.48,0.01,0.12,1.15,E,Bueno,0,5,1
DS,Platform,Sega,0.69,0.47,0.01,0.12,1.29,E,Bueno,0,5,1
DS,Platform,Sega,0.93,0.73,0.0,0.17,1.83,E,Aceptable,5,0,1
DS,Platform,THQ,0.45,0.0,0.0,0.04,0.49,E,Malo,2,0,0
DS,Platform,Take-Two Interactive,0.97,0.01,0.0,0.07,1.05,E,Malo,0,0,1
DS,Platform,Ubisoft,0.03,0.01,0.0,0.0,0.05,T,Malo,2,3,0
DS,Platform,Ubisoft,0.21,0.03,0.0,0.02,0.26,E,Malo,2,3,0
DS,Platform,Vivendi Games,0.32,0.02,0.0,0.03,0.37,E,Malo,2,0,0
DS,Puzzle,505 Games,0.79,0.42,0.01,0.13,1.35,E,Aceptable,0,5,1
DS,Puzzle,Atari,0.04,0.0,0.0,0.0,0.05,E,Malo,2,3,0
DS,Puzzle,Codemasters,0.07,0.0,0.0,0.01,0.07,E10+,Malo,2,3,0
DS,Puzzle,Crave Entertainment,0.02,0.0,0.0,0.0,0.03,E10+,Malo,2,3,0
DS,Puzzle,D3Publisher,0.11,0.0,0.0,0.01,0.12,E10+,Bueno,2,3,0
DS,Puzzle,D3Publisher,0.28,0.0,0.03,0.02,0.34,E10+,Excelente,2,1,0
DS,Puzzle,Deep Silver,0.07,0.0,0.0,0.01,0.08,E,Malo,2,3,0
DS,Puzzle,Deep Silver,0.5,0.0,0.0,0.04,0.55,E,Aceptable,0,0,0
DS,Puzzle,Disney Interactive Studios,0.01,0.02,0.0,0.0,0.04,E,Bueno,2,3,0
DS,Puzzle,Eidos Interactive,0.0,0.01,0.0,0.0,0.02,E,Aceptable,2,3,0
DS,Puzzle,Eidos Interactive,0.05,0.02,0.0,0.01,0.08,E,Bueno,2,3,0
DS,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13,E,Aceptable,2,3,0
DS,Puzzle,Ignition Entertainment,0.1,0.01,0.05,0.01,0.17,E,Bueno,2,1,0
DS,Puzzle,Jaleco,0.07,0.0,0.0,0.01,0.08,E,Bueno,2,3,0
DS,Puzzle,Majesco Entertainment,0.42,0.0,0.0,0.03,0.45,T,Bueno,2,0,0
DS,Puzzle,Midway Games,0.48,1.27,0.0,0.24,2.0,E10+,Bueno,5,5,2
DS,Puzzle,Namco Bandai Games,0.16,0.0,0.1,0.01,0.27,E,Bueno,2,1,0
DS,Puzzle,Natsume,0.12,0.0,0.0,0.01,0.13,E,Malo,2,3,0
DS,Puzzle,Nintendo,0.15,0.01,0.06,0.01,0.23,E,Excelente,2,1,0
DS,Puzzle,Nintendo,0.17,0.02,0.3,0.02,0.5,E,Excelente,2,1,0
DS,Puzzle,Nintendo,0.61,1.57,0.82,0.27,3.26,E10+,Excelente,3,4,2
DS,Puzzle,Nintendo,0.73,0.03,0.36,0.07,1.19,E,Bueno,0,6,1
DS,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,E,Excelente,3,7,3
DS,Puzzle,Nintendo,1.63,0.51,0.35,0.18,2.67,E,Bueno,5,7,2
DS,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,E,Bueno,6,4,5
DS,Puzzle,Rising Star Games,0.03,0.0,0.0,0.0,0.04,E,Malo,2,3,0
DS,Puzzle,Rising Star Games,0.04,0.0,0.0,0.0,0.05,E,Aceptable,2,3,0
DS,Puzzle,Rising Star Games,0.08,0.0,0.0,0.01,0.1,E,Bueno,2,3,0
